%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83299.754,302.109,0.961,0.521,0.130,0.104,-2.810,-1.783,1.178,1.464,0.324,-1.764,-2.563,-3.210,-1.005,1.357,3.275,-3.504,3.142,2.302,-0.518,-0.900,-7.947,0.032,-0.445,0.002,535.048,336.269
83295.723,302.110,0.961,0.521,0.130,0.104,-2.918,-0.780,0.535,0.941,0.865,-2.283,-2.242,-2.782,-0.670,1.044,3.169,-2.973,3.142,1.570,0.415,-1.013,-7.947,0.012,-0.424,0.002,535.048,336.269
83315.880,302.109,0.961,0.775,0.288,0.264,-3.459,-1.337,0.428,0.836,0.649,-1.245,-2.776,-2.889,-0.447,0.522,2.852,-2.973,3.770,1.360,-0.207,-1.013,-7.957,-0.007,-0.445,0.002,535.048,336.269
83303.785,302.110,0.961,0.775,0.288,0.424,-3.567,-1.560,1.070,0.836,0.757,-1.349,-2.136,-3.317,-0.335,0.939,2.852,-3.079,3.875,2.407,0.000,-0.675,-7.947,0.012,-0.445,0.002,535.048,336.269
83299.754,302.139,0.960,1.122,0.605,-0.056,-3.026,-0.780,0.963,1.359,0.433,-1.764,-1.922,-3.103,-0.112,1.461,3.592,-3.292,3.350,2.512,-0.622,-0.675,-5.906,0.032,-0.373,0.002,535.048,336.269
83295.723,302.141,0.960,0.964,0.447,-0.216,-3.567,-1.895,0.535,0.941,1.298,-1.660,-2.136,-1.926,-0.558,1.879,4.015,-2.655,4.083,2.198,0.623,-1.576,-5.906,0.012,-0.373,0.001,535.048,336.269
83303.785,302.139,0.961,0.964,0.447,-0.376,-3.243,-1.115,0.535,1.255,0.757,-1.972,-2.883,-3.317,-0.335,0.209,3.381,-2.867,3.350,1.570,-0.415,-0.563,-5.906,0.012,-0.353,0.002,535.048,336.269
83303.785,302.141,0.961,1.046,0.526,-0.056,-4.215,-1.895,1.178,0.000,0.973,-1.764,-2.456,-3.531,-1.116,0.731,1.902,-3.717,3.560,1.465,0.311,-0.900,-5.896,0.012,-0.373,0.002,535.048,336.269
83291.691,302.141,0.960,1.046,0.526,-0.056,-2.918,-2.118,1.285,1.673,0.973,-1.245,-1.708,-1.605,0.336,1.670,4.015,-2.867,4.607,2.512,0.519,-1.013,-5.906,0.012,-0.363,0.002,535.048,336.269
83299.754,302.143,0.960,1.122,0.605,-0.056,-2.486,-1.115,0.321,1.464,0.757,-2.491,-2.563,-2.782,-0.223,1.044,2.852,-3.398,2.618,1.465,0.104,-1.913,-5.896,-0.007,-0.373,0.002,535.048,336.269
83295.723,302.139,0.960,0.964,0.447,-0.376,-3.459,-1.895,0.214,0.000,-0.108,-2.802,-4.164,-3.424,-1.005,-0.104,2.007,-4.141,3.141,0.837,-0.415,-1.351,-5.917,0.032,-0.384,0.002,535.048,336.269
83315.880,302.139,0.961,1.046,0.526,-0.056,-3.783,-1.115,1.499,1.673,0.973,-1.245,-1.602,-2.461,-0.112,1.879,3.803,-2.761,3.979,1.884,-0.518,-0.675,-5.896,-0.007,-0.384,0.002,535.048,336.269
83303.785,302.139,0.961,0.875,0.367,-0.056,-3.243,-2.563,0.107,0.836,0.433,-2.802,-3.417,-3.745,-1.451,0.626,2.852,-3.610,2.827,1.151,-0.311,-1.013,-5.896,-0.007,-0.373,0.002,535.048,336.269
83315.880,302.139,0.961,1.046,0.526,-0.216,-3.567,-0.780,0.428,0.836,0.973,-1.557,-2.456,-2.675,-0.335,-0.000,3.381,-2.867,3.141,2.093,-0.415,-1.013,-5.896,0.032,-0.373,0.002,535.048,336.269
83295.723,302.141,0.960,0.875,0.367,0.264,-3.891,-1.449,0.856,0.732,0.433,-1.453,-2.563,-2.996,-0.446,1.148,2.641,-3.504,3.455,1.465,0.831,-0.450,-5.917,0.051,-0.373,0.002,535.048,336.269
83299.754,302.143,0.960,0.875,0.367,-0.216,-3.026,-2.341,0.642,0.732,-0.216,-1.972,-2.563,-3.103,-0.893,0.626,3.064,-4.460,2.827,1.256,-0.829,-1.351,-5.906,0.012,-0.373,0.001,535.048,336.269
83307.817,302.141,0.961,1.046,0.526,-0.056,-3.675,-1.783,0.535,1.046,0.757,-2.802,-2.029,-2.889,-0.112,1.357,3.592,-2.124,3.246,1.988,0.311,-0.563,-5.927,0.012,-0.373,0.001,535.048,336.269
83311.848,302.141,0.961,0.660,0.209,-0.216,-2.594,-0.780,1.178,1.359,0.433,-1.038,-2.883,-2.782,0.447,0.731,3.170,-3.186,4.084,0.733,-0.000,-0.225,-5.927,-0.007,-0.373,0.002,535.048,336.269
83311.848,302.143,0.961,0.875,0.367,-0.216,-4.431,-2.229,0.535,0.941,0.216,-2.075,-2.242,-4.173,-1.005,1.148,3.064,-3.610,3.246,2.512,-0.104,-1.013,-5.917,-0.007,-0.373,0.001,535.048,336.269
83307.817,302.143,0.961,1.046,0.526,-0.376,-3.026,-2.118,0.856,1.150,0.865,-1.141,-1.708,-2.140,-0.670,1.774,3.698,-2.867,3.456,2.093,0.934,-1.125,-5.917,0.012,-0.373,0.002,535.048,336.269
83311.848,302.143,0.961,0.964,0.447,-0.216,-2.918,-0.892,0.107,1.568,1.298,-1.453,-2.349,-2.675,0.000,0.522,3.064,-2.867,3.142,1.570,0.831,-0.450,-5.906,0.032,-0.373,0.002,535.048,336.269
83311.848,302.143,0.961,0.875,0.367,-0.376,-2.918,-1.672,0.642,0.523,0.865,-1.972,-2.563,-2.889,-0.223,1.566,2.853,-3.079,3.875,1.151,-0.311,-1.238,-5.927,-0.007,-0.373,0.001,535.048,336.269
83311.848,302.139,0.961,0.964,0.447,-0.056,-3.351,-1.560,0.963,1.255,0.541,-1.764,-2.242,-2.675,0.224,1.148,3.803,-3.610,3.979,2.407,0.311,-0.563,-5.917,0.012,-0.373,0.001,535.048,336.269
83307.817,302.143,0.961,0.875,0.367,-0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.937,0.032,-0.373,0.001,535.048,336.269
83291.691,302.170,0.960,0.521,0.130,0.104,-3.026,-1.003,0.856,0.941,1.406,-2.179,-2.029,-2.675,0.112,0.939,3.698,-2.442,3.246,2.093,0.519,-1.125,-4.126,0.012,-0.251,0.002,535.048,336.269
83299.754,302.168,0.960,0.327,0.051,0.104,-2.702,-0.892,1.499,0.836,1.190,-1.556,-2.563,-2.247,0.336,1.774,3.275,-2.867,4.293,1.465,0.208,-0.788,-4.126,0.012,-0.262,0.001,535.048,336.269
83299.754,302.165,0.960,0.327,0.051,-0.056,-3.351,-1.226,1.070,1.882,0.216,-1.245,-1.815,-3.317,-0.112,1.148,3.592,-2.973,4.084,2.198,0.208,-0.563,-4.126,-0.007,-0.262,0.001,535.048,336.269
83299.754,302.172,0.960,0.000,-0.028,0.104,-3.134,-1.672,0.642,1.673,1.298,-1.038,-1.922,-2.140,-0.893,1.044,3.275,-2.973,4.189,2.198,0.623,-0.900,-4.136,0.032,-0.272,0.001,535.048,336.269
83303.785,302.170,0.960,0.521,0.130,-0.216,-3.026,-1.115,0.642,1.464,1.190,-1.038,-2.349,-2.354,0.224,0.835,3.486,-2.867,3.770,2.198,0.311,-0.900,-4.136,0.051,-0.262,0.001,535.048,336.269
83295.723,302.168,0.960,0.327,0.051,0.264,-3.351,-1.115,1.606,1.046,1.081,-1.660,-1.388,-2.461,-0.670,1.670,2.853,-2.973,3.979,1.256,0.311,-0.788,-4.136,0.012,-0.251,0.001,535.048,336.269
83299.754,302.168,0.960,0.521,0.130,0.104,-2.918,-1.783,1.177,1.359,-0.540,-1.245,-2.136,-2.675,-0.781,1.357,3.592,-3.504,3.875,1.988,-0.311,-1.125,-4.115,0.032,-0.251,0.002,535.048,336.269
83303.785,302.173,0.960,0.660,0.209,-0.056,-3.243,-1.115,1.177,0.627,1.514,-2.075,-2.242,-2.675,-0.335,1.252,4.120,-2.867,2.932,1.988,0.000,-1.688,-4.136,-0.007,-0.262,0.001,535.048,336.269
83295.723,302.170,0.960,0.660,0.209,-0.056,-2.594,-1.115,0.642,1.464,0.757,-1.557,-2.883,-2.568,0.000,1.044,3.275,-2.867,4.398,1.465,-0.104,-0.788,-4.126,0.032,-0.251,0.001,535.048,336.269
83303.785,302.168,0.960,0.660,0.209,0.104,-3.567,-1.449,0.963,0.941,0.757,-1.557,-2.349,-3.103,-0.335,1.670,3.486,-2.973,3.560,2.093,-0.104,-1.351,-4.136,0.012,-0.262,-0.000,535.048,336.269
83303.785,302.172,0.960,0.327,0.051,-0.056,-3.459,-2.341,0.749,1.255,1.298,-1.972,-2.563,-2.568,-1.339,1.044,3.275,-3.504,3.875,1.779,0.000,-1.238,-4.136,-0.007,-0.262,0.001,535.048,336.269
83295.723,302.170,0.960,0.521,0.130,-0.056,-3.026,-1.115,0.107,1.255,0.541,-2.075,-2.669,-3.317,-0.112,0.313,2.958,-3.186,3.560,1.465,-0.104,-1.125,-4.126,-0.007,-0.262,0.001,535.048,336.269
83303.785,302.173,0.960,0.660,0.209,0.104,-3.675,-1.672,1.070,0.209,0.649,-1.660,-2.883,-2.996,-0.893,1.252,2.958,-3.398,2.932,0.942,0.623,-0.675,-4.126,0.012,-0.262,0.001,535.048,336.269
83299.754,302.170,0.960,0.000,-0.028,-0.056,-3.459,-1.895,0.963,1.046,-0.324,-1.764,-2.456,-3.103,-0.558,0.626,3.592,-3.504,3.560,1.674,-0.829,-0.563,-4.136,0.012,-0.251,0.000,535.048,336.269
83299.754,302.173,0.960,0.327,0.051,-0.056,-3.134,-1.449,0.642,1.046,1.081,-3.113,-2.563,-2.247,-0.670,1.252,3.592,-2.548,3.246,1.465,-0.000,-2.138,-4.136,0.012,-0.262,0.001,535.048,336.269
83303.785,302.170,0.960,0.521,0.130,-0.056,-3.351,-0.892,0.749,1.150,0.973,-1.453,-3.203,-2.782,-0.558,0.626,3.486,-2.973,3.246,1.465,0.208,-0.675,-4.147,0.032,-0.251,0.001,535.048,336.269
83303.785,302.168,0.960,0.327,0.051,0.424,-3.567,-1.337,1.177,0.627,0.649,-1.764,-2.456,-3.210,-0.781,1.252,2.746,-2.867,3.560,2.302,-0.000,-1.013,-4.136,0.012,-0.241,0.002,535.048,336.269
83299.754,302.173,0.960,0.521,0.130,0.104,-3.026,-2.786,0.535,1.255,0.757,-1.972,-2.349,-2.675,-0.893,0.417,2.958,-3.398,3.875,2.198,0.104,-1.688,-4.147,-0.007,-0.251,0.001,535.048,336.269
83307.817,302.173,0.960,0.000,-0.028,-0.216,-3.243,-1.226,0.107,1.359,0.865,-1.868,-2.563,-2.889,0.000,0.313,3.380,-3.292,2.932,2.512,0.104,-1.125,-4.136,-0.007,-0.251,0.001,535.048,336.269
83303.785,302.172,0.960,0.000,-0.028,-0.216,-3.999,-1.560,1.713,0.209,0.973,-1.972,-3.097,-3.103,-1.005,0.731,2.535,-3.079,3.560,1.465,-0.104,-1.013,-4.157,0.032,-0.251,0.002,535.048,336.269
83295.723,302.191,0.960,0.875,0.367,-0.536,-3.459,-1.115,0.535,1.255,0.324,-1.764,-2.563,-3.103,-0.781,-0.208,2.536,-2.761,3.770,1.256,-0.415,-1.125,-2.095,0.032,-0.130,0.001,535.048,336.269
83303.785,302.189,0.960,0.660,0.209,-0.696,-3.783,-1.560,1.178,0.836,0.108,-2.075,-2.242,-2.782,-1.228,1.044,2.219,-3.186,3.246,1.256,0.104,-1.688,-2.106,-0.007,-0.140,0.000,535.048,336.269
83311.848,302.186,0.960,0.775,0.288,-0.536,-2.918,-2.229,0.749,1.045,-0.000,-1.660,-2.776,-2.782,-0.893,1.148,3.698,-3.823,3.875,1.570,-0.104,-2.026,-2.095,0.012,-0.140,0.001,535.048,336.269
83303.785,302.188,0.960,0.521,0.130,-0.856,-3.567,-1.226,0.214,0.941,0.216,-2.283,-2.456,-3.103,-0.112,0.522,3.064,-2.442,2.827,1.779,0.000,-1.463,-2.075,-0.007,-0.109,0.001,535.048,336.269
83303.785,302.189,0.960,0.660,0.209,-0.536,-3.675,-1.003,0.749,1.255,0.649,-1.868,-2.563,-2.996,-0.781,1.044,3.381,-3.186,3.875,0.837,-0.104,-0.788,-2.147,0.012,-0.130,0.001,535.048,336.269
83303.785,302.189,0.960,0.775,0.288,-0.376,-3.459,-1.672,0.856,1.359,0.216,-1.764,-2.349,-3.745,-0.447,1.252,3.381,-3.929,3.560,2.512,-0.518,-1.013,-2.095,-0.007,-0.130,0.001,535.048,336.269
83311.848,302.189,0.960,0.660,0.209,-0.216,-3.134,-1.115,1.285,1.464,1.081,-1.660,-2.349,-2.889,-0.335,1.461,2.958,-2.442,3.665,1.570,0.311,-1.688,-2.095,0.032,-0.130,0.001,535.048,336.269
83307.817,302.188,0.960,0.775,0.288,-0.216,-3.243,-1.003,0.321,0.732,0.973,-1.453,-2.563,-3.103,0.336,0.209,3.275,-2.655,3.875,2.302,-0.104,-0.788,-2.106,-0.007,-0.140,-0.000,535.048,336.269
83303.785,302.189,0.960,0.775,0.288,-0.216,-3.567,-1.226,1.070,1.255,0.973,-0.934,-2.136,-2.568,-0.223,1.774,2.747,-2.761,3.770,1.570,0.208,-0.788,-2.085,0.012,-0.130,0.001,535.048,336.269
83311.848,302.189,0.960,0.775,0.288,-0.376,-2.918,-1.337,0.642,1.464,0.541,-1.245,-2.136,-2.675,-0.446,1.461,3.592,-3.292,3.979,1.988,0.311,-0.450,-2.095,0.032,-0.140,0.001,535.048,336.269
83295.723,302.191,0.960,0.660,0.209,-0.056,-3.243,-1.226,1.070,1.255,1.298,-1.660,-2.029,-2.782,-0.446,1.148,2.852,-2.761,3.142,2.198,0.000,-1.125,-2.106,0.012,-0.119,0.001,535.048,336.269
83299.754,302.189,0.960,0.521,0.130,0.264,-3.134,-1.115,0.856,1.046,0.324,-1.245,-3.310,-2.461,-0.223,0.939,3.697,-2.336,4.084,1.465,0.000,-1.125,-2.106,0.012,-0.130,0.001,535.048,336.269
83295.723,302.188,0.960,0.660,0.209,0.104,-3.567,-1.115,1.820,1.673,0.757,-1.972,-1.815,-3.424,-0.446,1.461,2.852,-3.079,3.875,2.407,0.208,-0.675,-2.085,0.032,-0.130,0.001,535.048,336.269
83303.785,302.193,0.960,0.327,0.051,-0.856,-2.594,-2.229,1.070,1.046,0.865,-1.868,-2.136,-2.782,-1.005,0.835,3.486,-3.079,3.770,2.302,0.415,-0.788,-2.095,0.032,-0.099,0.000,535.048,336.269
83303.785,302.189,0.960,0.521,0.130,-0.056,-3.243,-1.226,0.428,1.464,0.865,-1.660,-2.456,-2.889,0.000,0.313,3.380,-2.867,3.142,1.988,0.104,-0.675,-2.095,-0.007,-0.130,-0.000,535.048,336.269
83299.754,302.189,0.960,0.660,0.209,-0.376,-2.918,-1.449,1.285,0.523,1.081,-1.349,-2.349,-2.461,0.336,1.252,3.063,-2.973,3.456,1.151,0.104,-1.013,-2.106,0.012,-0.119,0.001,535.048,336.269
83299.754,302.186,0.960,0.521,0.130,0.104,-2.918,-1.783,0.749,1.359,-0.108,-1.764,-1.922,-2.461,-0.446,1.774,3.486,-3.504,3.979,2.407,-0.311,-0.450,-2.095,-0.007,-0.140,0.001,535.048,336.269
83303.785,302.186,0.960,0.521,0.130,-0.216,-2.810,-1.337,1.178,1.359,1.622,-1.868,-2.136,-2.568,-0.781,1.461,3.486,-2.973,3.142,1.779,-0.415,-1.351,-2.095,0.012,-0.130,0.001,535.048,336.269
83307.817,302.189,0.960,0.521,0.130,-0.056,-2.810,-1.449,0.535,0.836,0.757,-1.764,-2.349,-3.103,0.000,0.731,3.697,-3.079,3.351,1.151,0.104,-0.338,-2.106,-0.007,-0.130,0.002,535.048,336.269
83307.817,302.189,0.960,0.521,0.130,-0.216,-3.459,-1.449,1.285,0.836,1.190,-2.075,-1.815,-3.210,-0.335,1.148,2.324,-3.186,3.770,1.779,0.311,-1.238,-2.116,0.012,-0.119,0.001,535.048,336.269
83303.785,302.197,0.960,0.521,0.130,-0.376,-2.378,-1.003,1.178,1.045,0.865,-1.556,-1.922,-2.247,-0.112,1.252,3.803,-2.442,3.979,1.988,0.831,-1.801,-0.086,0.051,0.013,0.000,535.048,336.269
83307.817,302.199,0.960,0.000,-0.028,-0.376,-2.918,-0.780,1.178,1.045,0.865,-1.556,-2.029,-2.568,-0.447,1.252,3.803,-2.761,4.189,1.675,0.519,-0.225,-0.086,0.051,0.013,0.001,535.048,336.269
83303.785,302.197,0.960,0.327,0.051,0.264,-3.026,-1.115,1.284,1.464,0.865,-1.141,-2.029,-2.889,0.224,1.566,3.381,-2.655,4.608,2.198,0.415,-1.125,-0.086,0.032,0.003,0.001,535.048,336.269
83315.880,302.201,0.960,0.327,0.051,-0.216,-2.486,-1.895,1.070,1.673,0.757,-1.660,-2.349,-2.461,-0.893,1.461,3.381,-3.398,3.665,2.616,0.415,-0.900,-0.065,0.032,-0.018,0.001,535.048,336.269
83311.848,302.201,0.960,0.521,0.130,-0.216,-2.918,-0.446,0.642,1.150,0.649,-1.349,-2.029,-2.568,0.224,0.835,3.486,-2.548,3.246,2.302,0.311,-0.675,-0.055,0.032,0.003,0.000,535.048,336.269
83315.880,302.199,0.960,0.000,-0.028,-0.216,-3.026,-0.780,1.499,0.836,0.973,-1.245,-2.563,-2.033,-0.223,1.670,3.064,-3.504,3.875,0.628,0.311,-0.563,-0.075,-0.007,0.023,0.000,535.048,336.269
83307.817,302.201,0.960,0.327,0.051,-0.376,-3.026,-1.226,0.963,1.359,0.324,-1.868,-2.349,-2.996,-0.558,1.566,3.592,-3.504,3.351,1.988,-0.622,-1.013,-0.086,-0.007,0.003,0.001,535.048,336.269
83319.911,302.194,0.961,0.327,0.051,-0.056,-3.134,-1.337,0.856,0.941,1.190,-2.387,-2.563,-2.247,-0.558,1.148,3.275,-2.761,3.875,1.988,0.415,-1.688,-0.075,0.032,0.003,0.000,535.048,336.269
83311.848,302.197,0.960,0.875,0.367,-0.376,-3.567,-1.337,0.642,0.941,0.757,-1.868,-3.097,-2.675,-0.112,0.313,3.486,-3.292,4.084,1.465,-0.415,-1.351,-0.075,0.032,0.003,0.001,535.048,336.269
83311.848,302.199,0.960,0.327,0.051,-0.376,-3.459,-1.226,0.642,0.941,0.108,-1.660,-2.029,-3.103,-0.781,0.939,2.007,-3.398,3.351,1.361,-0.207,-1.576,-0.065,0.032,0.023,0.000,535.048,336.269
83319.911,302.197,0.961,0.327,0.051,-0.536,-3.351,-2.563,0.428,0.836,0.108,-1.972,-2.990,-3.103,-0.558,0.522,3.169,-3.717,3.037,1.675,-0.207,-1.688,-0.065,0.012,0.013,-0.000,535.048,336.269
83311.848,302.199,0.960,0.521,0.130,-0.536,-3.783,-0.780,-0.000,0.941,0.541,-2.491,-2.349,-3.210,0.112,0.522,2.641,-3.292,2.932,1.675,-0.311,-1.238,-0.075,0.012,0.003,0.001,535.048,336.269
83315.880,302.202,0.960,0.521,0.130,-0.536,-3.243,-1.226,0.535,-0.104,0.216,-1.764,-3.097,-3.210,-1.005,0.731,2.641,-3.079,3.246,1.047,-0.311,-0.788,-0.086,-0.007,0.013,0.000,535.048,336.269
83319.911,302.202,0.960,0.521,0.130,-0.536,-3.351,-2.006,0.749,0.732,0.108,-2.075,-2.029,-3.210,-0.558,0.939,2.430,-3.186,3.560,2.093,-0.518,-1.238,-0.075,0.012,0.013,0.000,535.048,336.269
83319.911,302.201,0.960,0.521,0.130,-0.696,-3.351,-2.118,0.214,0.836,0.649,-2.283,-2.776,-2.996,-1.786,1.148,3.063,-3.398,3.560,1.674,0.208,-1.688,-0.065,-0.007,-0.008,-0.000,535.048,336.269
83315.880,302.199,0.960,0.521,0.130,-0.536,-3.351,-1.672,0.107,1.150,0.649,-1.764,-2.883,-3.210,-0.223,0.626,2.852,-3.186,4.084,1.779,-0.000,-0.675,-0.075,0.012,0.013,0.001,535.048,336.269
83315.880,302.194,0.960,0.521,0.130,-0.536,-3.783,-1.783,1.284,-0.000,0.757,-1.868,-2.242,-3.103,-0.335,0.939,2.746,-3.079,3.770,0.942,0.311,-0.788,-0.075,0.032,0.003,0.001,535.048,336.269
83307.817,302.197,0.960,0.775,0.288,-0.536,-2.702,-2.341,0.107,1.046,0.108,-1.972,-2.029,-2.782,-0.781,1.044,3.697,-3.929,3.665,2.302,-0.311,-0.900,-0.075,-0.007,0.003,0.000,535.048,336.269
83323.942,302.194,0.961,0.775,0.288,-0.536,-3.243,-0.892,0.642,1.046,0.973,-2.179,-2.242,-2.568,-0.223,1.148,3.063,-2.655,2.618,1.779,0.727,-1.351,-0.075,0.012,0.003,0.001,535.048,336.269
83315.880,302.202,0.960,0.660,0.209,-0.536,-3.134,-1.226,0.963,1.255,0.757,-1.557,-2.563,-2.889,-0.446,1.357,3.169,-2.655,3.875,1.465,0.519,-0.675,-0.075,0.012,-0.008,0.001,535.048,336.269
83299.754,302.210,0.960,0.521,0.130,-0.376,-3.243,-1.672,1.178,1.255,1.082,-1.764,-2.136,-3.424,-0.112,1.670,2.852,-3.079,3.874,2.407,0.208,-1.013,1.965,0.012,0.124,-0.000,535.048,336.269
83307.817,302.214,0.960,0.521,0.130,-0.056,-3.026,-1.783,0.749,0.941,0.865,-1.764,-2.349,-2.461,-1.451,1.357,3.592,-3.504,3.665,1.988,0.519,-0.900,1.976,0.012,0.145,-0.000,535.048,336.269
83303.785,302.212,0.960,0.521,0.130,-0.216,-3.243,-0.557,0.000,1.046,0.541,-2.179,-2.242,-2.140,-0.223,0.626,3.908,-2.761,3.665,1.884,0.415,-1.013,1.976,0.032,0.124,0.001,535.048,336.269
83307.817,302.212,0.960,0.327,0.051,0.104,-3.134,-0.669,1.178,0.836,0.324,-1.453,-2.456,-2.461,-0.223,1.774,3.380,-2.761,4.083,1.361,0.623,-1.238,1.965,0.032,0.114,0.000,535.048,336.269
83307.817,302.210,0.960,0.000,-0.028,-0.216,-2.918,-1.449,0.963,1.673,0.324,-1.764,-1.602,-2.568,-0.112,1.566,3.380,-3.398,3.979,1.884,-0.622,-0.675,1.965,0.032,0.114,0.000,535.048,336.269
